run num,date,starttime ,,starttime ,start time,endtime ,duration,Acc power,exp. target,HD-Target ,Beam Pol,K1.8D1,K1.8mom,ESS,"CM
(1/2)",beam,Trig,1st trig Req,1st trig Acc,Solenoid,Ushiwaka,FT,SYIM,TM,beam,kaon,pion,MomS+,MomS-,MS+,MS-,IF-H +,IF-H-,IF-V +,IF-V-,DEF,Comment,Log Note,k- purity,"K- on target 
(DEF)","K- on target
(DEF*0.7)","Integrated K- on target
(DEF*0.7)",integrated time,kW*week,integrated kW*week,"true K
/spill","true pi
/spill",K/pi
67,,,,,2018/1/18 16:31,2018/1/18 16:35,00:03:47,31.56,,Au,negative,-369,1,200,347,K,pi,,,0,0,,,,,,,160.1,-110,4.14,-0.57,109.8,-110,3.62,-0.43,off,[pi record] BPD=-0.2V,,,,,,,,,,,
68,,,,,2018/1/18 16:36,2018/1/18 16:40,00:04:25,31.56,,Au,negative,-369,1,200,347,K,pi,,,0,0,,,,,,,160.1,-110,4.14,-0.57,109.8,-110,3.62,-0.43,off,[pi record] BPD=+0.2V,,,,,,,,,,,
69,,,,,2018/1/18 16:40,2018/1/18 16:44,00:03:47,31.56,,Au,negative,-369,1,200,347,K,pi,,,0,0,,,,,,,160.1,-110,4.14,-0.57,109.8,-110,3.62,-0.43,off,[pi record] BPD=+0.4V,,,,,,,,,,,
70,,,,,2018/1/18 17:02,2018/1/18 17:02,00:00:40,31.55,,Au,negative,-369,1,200,410,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,2.64,0.64,on,[CM scan for pbar] 410,,,,,,,,,,,
71,,,,,2018/1/18 17:03,2018/1/18 17:03,00:00:38,31.55,,Au,negative,-369,1,200,415,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,2.64,0.64,on,[CM scan for pbar] 415,,,,,,,,,,,
72,,,,,2018/1/18 17:04,2018/1/18 17:05,00:00:20,31.55,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,2.64,0.64,on,[CM scan for pbar] 420,,,,,,,,,,,
73,,,,,2018/1/18 17:05,2018/1/18 17:05,00:00:37,31.55,,Au,negative,-369,1,200,425,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,2.64,0.64,on,[CM scan for pbar] 425,,,,,,,,,,,
74,,,,,2018/1/18 17:06,2018/1/18 17:06,00:00:37,31.55,,Au,negative,-369,1,200,430,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,2.64,0.64,on,[CM scan for pbar] 430,,,,,,,,,,,
75,,,,,2018/1/18 17:07,2018/1/18 17:09,00:01:59,31.55,,Au,negative,-369,1,200,435->420,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,2.64,0.64,on,[CM scan for pbar] 435->420,,,,,,,,,,,
76,,,,,2018/1/18 17:23,2018/1/18 17:25,00:02:05,31.58,,Au,negative,-369,1,200,420,p,p,,,0,-1900,10,32645,581247,7826268,735339,7111865,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[pbar beam] D4=1913,,,,,,,,,,,
77,,,,,2018/1/18 17:28,2018/1/18 17:31,00:02:43,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,-1900,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] -1900,,,,,,,,,,,
78,,,,,2018/1/18 17:31,2018/1/18 17:34,00:02:53,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,-1500,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] -1600,,,,,,,,,,,
79,,,,,2018/1/18 17:34,2018/1/18 17:37,00:02:53,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,-1200,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] -1200,,,,,,,,,,,
80,,,,,2018/1/18 17:37,2018/1/18 17:40,00:03:03,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,-900,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] -900,,,,,,,,,,,
81,,,,,2018/1/18 17:41,2018/1/18 17:43,00:02:48,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,-600,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] -600,,,,,,,,,,,
82,,,,,2018/1/18 17:44,2018/1/18 17:47,00:03:04,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,-300,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] -300,,,,,,,,,,,
83,,,,,2018/1/18 17:47,2018/1/18 17:56,00:09:11,31.58,,Au,negative,-369,1,200,420,p,"p, beam/5",,,0,0,,,,,,,160.2,-110,4.14,-0.57,109.8,-110,3.61,-0.48,on,[USWK scan with pbar] 0,,,,,,,,,,,
